id,name,quizcode,duration,startTiming,date,createdAt,updatedAt,negativeScore,positiveScore
1,FESTLA Quiz,FESTLA-2024,60,2024-11-21 09:07:40.588,2024-11-21 09:07:40.588,2024-11-21 09:07:41.205,2024-11-21 09:07:41.205,0,1
3,Round - 1,demo-123,60,2024-11-21 20:30:00,2024-11-22 08:00:00,2024-11-22 07:58:14.871,2024-11-22 07:58:14.871,0.25,1
4,Quiz Bowl - Screening Round,quiz-bowl-2024,60,2024-11-23 05:30:00,2024-11-22 18:30:00,2024-11-22 22:07:31,2024-11-23 06:43:05.804,0.25,1
5,Tie Break,tie-breaker-2024,20,2024-11-23 07:00:00,2024-11-22 18:30:00,2024-11-23 06:52:19.086,2024-11-23 06:52:19.086,0.25,1
