id,quizId,name,easyQ,mediumQ,hardQ,createdAt,updatedAt
1,1,Screening,10,0,0,2024-11-21 09:07:41.34,2024-11-22 08:38:07.157
2,1,Pre-final,10,5,2,2024-11-21 09:07:41.34,2024-11-21 09:07:41.34
3,1,Final,10,5,2,2024-11-21 09:07:41.34,2024-11-21 09:07:41.34
4,3,Tagline,10,0,0,2024-11-22 07:58:32.836,2024-11-22 07:58:32.836
5,4,Tagline Round,34,0,0,2024-11-22 22:09:11,2024-11-23 02:29:05.161
6,4,Collaborations Round,36,0,0,2024-11-22 22:14:51,2024-11-23 02:28:46.42
7,4,Brand Logo Round,36,0,0,2024-11-22 23:23:09,2024-11-22 19:19:42.169
